,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
343,yulara,0,AU,1632798447,14,-25.2406,130.9889,83.52,16.55
344,lasa,2,IT,1632798448,78,46.6166,10.7002,51.03,4.85
345,bomet,43,KE,1632798448,93,-0.7813,35.3416,52.02,3.42
346,ambon,75,ID,1632798449,94,-3.6954,128.1814,80.74,6.91
347,gravelbourg,10,CA,1632798449,25,49.8834,-106.5512,70.16,6.15
348,sao filipe,100,IN,1632798449,93,20.5113,76.2129,71.53,8.21
349,urengoy,63,RU,1632798449,69,65.9667,78.3667,34.5,3.91
350,morondava,50,MG,1632798438,83,-20.2833,44.2833,72.68,4.61
351,ishigaki,81,JP,1632798450,70,24.3448,124.1572,83.48,18.37
352,alice springs,40,US,1632798450,86,27.7523,-98.0697,82.31,5.75
353,san patricio,0,ML,1632798450,60,13.3034,-4.8956,80.11,8.43
354,lubango,37,AO,1632798451,68,-14.9172,13.4925,58.26,2.89
355,shimoda,43,JP,1632798451,67,34.6667,138.95,74.46,15.48
356,bilibino,100,RU,1632798451,95,68.0546,166.4372,21.0,11.05
357,santa maria,46,PH,1632798451,65,17.486,120.4348,86.99,3.53
358,hailar,56,CN,1632798452,51,49.2,119.7,58.46,11.39
359,nara,87,JP,1632798295,65,34.6851,135.8049,76.69,3.71
360,hirara,84,JP,1632798452,72,24.8,125.2833,83.1,17.78
361,baykit,100,RU,1632798452,72,61.67,96.37,36.72,7.96
362,srivardhan,100,IN,1632798453,91,18.0333,73.0167,76.62,6.53
363,saint-georges,20,GD,1632798453,89,12.0564,-61.7485,80.28,0.0
